Date,Open,High,Low,Close,Volume
2020-02-20,4.16,4.295,4.1077,4.14,1579205.0
2020-02-21,4.12,4.18,3.99,4.04,1725983.0
2020-02-24,3.9,3.93,3.7,3.7,3602399.0
2020-02-25,3.77,3.79,3.55,3.56,4484798.0
2020-02-26,3.58,3.62,3.36,3.39,4769982.0
2020-02-27,3.23,3.625,3.1849,3.47,3922856.0
2020-02-28,3.34,3.72,3.34,3.6,4733434.0
2020-03-02,3.6,3.85,3.39,3.83,3229727.0
2020-03-03,3.88,3.89,3.5,3.63,4030223.0
2020-03-04,3.71,3.83,3.46,3.77,4276539.0
2020-03-05,3.7,3.99,3.59,3.96,3622891.0
2020-03-06,3.84,4.07,3.76,3.92,2127522.0
2020-03-09,3.59,3.97,3.5,3.7,2732522.0
2020-03-10,3.94,4.26,3.8,4.23,4912437.0
2020-03-11,4.14,4.25,4,4.14,4434955.0
2020-03-12,3.7,4.04,3.48,3.98,5123466.0
2020-03-13,4.13,4.65,3.845,4.59,5832798.0
2020-03-16,3.93,4.57,3.9,4.37,4866821.0
2020-03-17,4.4,4.65,4.11,4.23,3580212.0
2020-03-18,4.1,4.25,3.5,3.77,3666986.0
2020-03-19,3.71,4.2,3.55,4.19,5064824.0
2020-03-20,4.08,4.08,3.65,3.76,7887863.0
2020-03-23,3.58,3.86,3.5,3.81,6055554.0
2020-03-24,3.95,4.21,3.8901,4.16,6822996.0
2020-03-25,4.15,4.49,4.04,4.17,3608350.0
2020-03-26,4.24,4.71,4.24,4.41,6235580.0
2020-03-27,4.94,5.09,4.15,4.22,7134130.0
2020-03-30,4.22,4.27,3.65,3.65,3381080.0
2020-03-31,3.63,3.8,3.5,3.5,2330383.0
2020-04-01,3.45,3.49,3.12,3.25,4641910.0
2020-04-02,3.26,3.35,2.85,2.85,4116117.0
2020-04-03,2.85,2.94,2.57,2.8,3861170.0
2020-04-06,2.86,3.2,2.825,3.09,3378987.0
2020-04-07,3.39,3.4399,3.1,3.27,2894439.0
2020-04-08,3.23,3.6701,3.2,3.41,2920713.0
2020-04-09,3.6,4.25,3.49,3.89,5956789.0
2020-04-13,4.25,4.76,4.16,4.74,6888217.0
2020-04-14,5.21,6.47,5.14,5.95,13575752.0
2020-04-15,5.66,5.67,4.9,5.27,7603621.0
2020-04-16,5.12,5.44,4.88,5.03,3405013.0
2020-04-17,5.22,5.28,4.43,4.88,5684623.0
2020-04-20,4.85,5.9,4.78,5.61,6167277.0
2020-04-21,5.23,5.3,4.76,4.78,4178018.0
2020-04-22,5.14,5.17,4.83,4.89,2723981.0
2020-04-23,4.75,4.89,4.58,4.7,2307610.0
2020-04-24,4.78,4.85,4.66,4.77,2251236.0
2020-04-27,4.85,5.99,4.81,5.82,7305848.0
2020-04-28,5.92,6.04,5.06,5.64,5235349.0
2020-04-29,5.83,6.09,5.4502,6.04,3423214.0
2020-04-30,5.87,5.975,5.64,5.73,2201948.0
2020-05-01,5.65,6.18,5.45,6.05,4027298.0
2020-05-04,5.84,5.93,5.4,5.48,4091619.0
2020-05-05,5.55,5.63,5.3501,5.39,2119246.0
2020-05-06,5.4,5.4,4.9,4.93,3388727.0
2020-05-07,4.83,4.935,4.65,4.87,2533776.0
2020-05-08,4.88,5.19,4.82,4.98,2378543.0
2020-05-11,4.92,4.959,4.75,4.76,1722677.0
2020-05-12,4.78,4.92,4.4601,4.54,2655416.0
2020-05-13,4.54,4.54,4.07,4.21,2896487.0
2020-05-14,4.15,4.19,3.96,4.13,2023408.0
2020-05-15,4.05,4.45,4.041,4.22,1966195.0
2020-05-18,4.4,4.63,4.36,4.58,2409080.0
2020-05-19,4.58,4.75,4.37,4.44,1870880.0
2020-05-20,4.5,4.69,4.335,4.43,2564318.0
2020-05-21,4.45,4.65,4.4,4.44,1984507.0
2020-05-22,4.46,4.49,4.13,4.18,2394368.0
2020-05-26,4.34,4.61,4.33,4.42,3569432.0
2020-05-27,4.57,4.71,4.355,4.69,3173948.0
2020-05-28,4.75,4.76,4.3,4.33,2199513.0
2020-05-29,4.33,4.42,4.05,4.06,3995711.0
2020-06-01,4.12,4.355,4.02,4.13,2732239.0
2020-06-02,4.27,4.308,4.06,4.18,2432169.0
2020-06-03,4.24,4.52,4.2,4.44,3057999.0
2020-06-04,4.44,4.72,4.37,4.47,3562176.0
2020-06-05,4.29,4.41,4.09,4.14,6375147.0
2020-06-08,4.28,5.1382,4.2737,5.01,10183803.0
2020-06-09,5,5,4.5519,4.96,8155137.0
2020-06-10,4.78,5.53,4.68,5.07,10657694.0
2020-06-11,4.64,4.8999,4.18,4.37,6288651.0
2020-06-12,4.6,4.78,4.39,4.72,4430357.0
2020-06-15,4.5,4.77,4.42,4.69,3945562.0
2020-06-16,4.95,4.95,4.51,4.64,3149922.0
2020-06-17,4.54,4.831,4.5301,4.76,3619470.0
2020-06-18,4.67,4.95,4.65,4.95,3455316.0
2020-06-19,4.95,5.084,4.69,4.88,7555462.0
2020-06-22,4.79,4.95,4.715,4.87,3212631.0
2020-06-23,4.95,4.99,4.8,4.83,3217826.0
2020-06-24,4.83,4.84,4.38,4.41,2989944.0
2020-06-25,4.33,4.54,4.295,4.46,2477309.0
2020-06-26,4.48,4.5,4.27,4.35,3815232.0
2020-06-29,4.35,4.52,4.3,4.38,2158573.0
2020-06-30,4.33,4.51,4.2,4.34,3903579.0
2020-07-01,4.31,4.5,4.31,4.44,2314419.0
2020-07-02,4.49,4.51,4.29,4.29,1898362.0
2020-07-06,4.31,4.34,4.19,4.24,2155014.0
2020-07-07,4.2,4.2475,4.06,4.09,2469772.0
2020-07-08,4.1,4.29,4.03,4.26,2071053.0
2020-07-09,4.27,4.32,4.13,4.21,2005611.0
2020-07-10,4.2,4.38,4.1843,4.34,1425770.0
2020-07-13,4.35,4.5479,4.26,4.26,4228697.0
2020-07-14,4.22,4.31,4.0725,4.08,2272778.0
2020-07-15,4.13,4.29,4.13,4.19,1486488.0
2020-07-16,4.19,4.2,4.09,4.17,1344987.0
2020-07-17,4.16,4.23,3.9381,3.96,3083146.0
2020-07-20,3.95,4.06,3.77,3.85,3430809.0
2020-07-21,3.9,4.09,3.88,4.01,3353293.0
2020-07-22,4.02,4.12,3.92,4.11,2540341.0
2020-07-23,4.09,4.305,4.06,4.11,3249913.0
2020-07-24,4.06,4.23,4.01,4.03,2223908.0
2020-07-27,4.02,4.12,3.95,4.01,2488394.0
2020-07-28,3.96,4.049,3.92,3.94,4573974.0
2020-07-29,3.94,4.18,3.92,4.06,2886161.0
2020-07-30,4,4.23,3.97,4.1,2414135.0
2020-07-31,4.06,4.16,3.99,4.01,1893905.0
2020-08-03,4.03,4.25,3.995,4.15,2532011.0
2020-08-04,4.13,4.7375,4.13,4.43,10375493.0
2020-08-05,4.5,4.76,4.245,4.63,4963999.0
2020-08-06,4.6,4.655,4.3801,4.43,1911697.0
2020-08-07,4.39,4.4,4.06,4.16,3357714.0
2020-08-10,4.2,4.57,4.18,4.33,4582481.0
2020-08-11,4.43,4.57,4.34,4.35,3157684.0
2020-08-12,4.4,4.63,4.36,4.52,3065886.0
2020-08-13,4.52,4.71,4.4966,4.64,2142119.0
2020-08-14,4.6,4.83,4.545,4.75,3488574.0
2020-08-17,4.78,4.78,4.555,4.63,2384687.0
2020-08-18,4.61,4.87,4.435,4.81,3845110.0
2020-08-19,4.8,4.84,4.64,4.72,2632197.0
2020-08-20,4.62,4.68,4.51,4.61,2453935.0
2020-08-21,4.6,5.6,4.595,5.03,10666668.0
2020-08-24,5.1,5.13,4.56,4.87,4616685.0
2020-08-25,4.88,5.25,4.88,4.98,3019579.0
2020-08-26,4.97,5.22,4.9199,5.11,2789346.0
2020-08-27,5.11,5.3799,5.02,5.25,3400969.0
2020-08-28,5.3,5.565,5.215,5.39,4270485.0
2020-08-31,5.77,7.15,5.69,6.68,38084591.0
2020-09-01,7.3,7.82,6.77,7.65,23360042.0
2020-09-02,7.8,8.05,7.11,7.71,13113449.0
2020-09-03,7.88,8.45,7.24,7.82,14439997.0
2020-09-04,7.78,7.92,7.17,7.65,7699619.0
2020-09-08,7.55,8.28,7.48,7.7,9883890.0
2020-09-09,7.96,7.99,7.31,7.35,9105360.0
2020-09-10,6.65,6.95,6.19,6.23,15889871.0
2020-09-11,6.26,6.33,5.87,6.09,6087797.0
2020-09-14,6.8,7,6.43,6.91,10278720.0
2020-09-15,6.86,7.26,6.685,7.09,5815759.0
2020-09-16,7.03,9.04,7.03,8.68,19388045.0
2020-09-17,8.57,9.77,8.41,9.2,17124318.0
2020-09-18,9.2,9.77,8.91,9.47,17553542.0
2020-09-21,9.35,9.6,8.38,8.75,7721741.0
2020-09-22,10.45,11.1699,9.9,10.56,34975355.0
2020-09-23,10.6,10.86,9.92,10.04,10788552.0
2020-09-24,9.71,9.81,9.01,9.14,8041719.0
2020-09-25,9.19,10.1826,9.1,10.02,7563171.0
2020-09-28,10.16,10.26,9.55,10.09,6839244.0
2020-09-29,10,10.65,9.93,10.35,5279037.0
2020-09-30,10.25,10.7597,10.06,10.2,6127047.0
2020-10-01,10.09,10.25,9.69,9.77,4601815.0
2020-10-02,9.38,9.78,9.3,9.39,4412265.0
2020-10-05,9.44,9.59,9.2502,9.46,2857258.0
2020-10-06,9.56,9.835,9.1,9.13,4568294.0
2020-10-07,9.23,9.56,9.1678,9.36,3340960.0
2020-10-08,9.54,13.64,9.19,13.49,76477999.0
2020-10-09,12.83,14.8,11.9,12.02,77507955.0
2020-10-12,11.66,12.7662,11.4,11.8,23833120.0
2020-10-13,11.73,12.42,11.65,11.88,10235595.0
2020-10-14,12.67,12.68,12.05,12.25,10868413.0
2020-10-15,11.99,15.1,11.99,13.83,39950963.0
2020-10-16,13.77,13.9,13.08,13.31,11318013.0
2020-10-19,13.44,14.5,13.38,13.91,13222791.0
2020-10-20,14.03,14.143,13.665,13.86,6672353.0
